transfer_type,min_transfer_time,from_stop_id,to_stop_id
2,230.0,feed_0_1697,
2,230.0,feed_0_1697,
2,234.0,feed_0_1703,feed_0_4035804
2,216.0,feed_0_1703,feed_0_4035805
2,261.0,feed_0_1704,feed_0_5922167
2,255.0,feed_0_1704,feed_0_5922218
2,251.0,feed_0_1705,feed_0_3909822
2,251.0,feed_0_1705,
2,251.0,feed_0_1705,
2,251.0,feed_0_1705,
2,223.0,feed_0_1705,feed_0_4834560
2,211.0,feed_0_1705,feed_0_4834561
2,223.0,feed_0_1705,
2,211.0,feed_0_1705,
2,259.0,feed_0_1705,feed_0_5121831
2,271.0,feed_0_1705,feed_0_5121832
2,250.0,feed_0_1705,feed_0_5121833
2,222.0,feed_0_1705,feed_0_5121971
2,296.0,feed_0_1705,feed_0_5122012
2,296.0,feed_0_1705,
2,222.0,feed_0_1705,
2,192.0,feed_0_1705,feed_0_5151445
2,192.0,feed_0_1705,
2,192.0,feed_0_1705,
2,192.0,feed_0_1705,
2,296.0,feed_0_1705,
2,222.0,feed_0_1705,
2,259.0,feed_0_1705,
2,262.0,feed_0_1705,feed_0_5423719
2,283.0,feed_0_1705,
2,262.0,feed_0_1705,
2,259.0,feed_0_1705,
2,262.0,feed_0_1705,
2,283.0,feed_0_1705,
2,306.0,feed_0_1706,feed_0_2224153
2,306.0,feed_0_1706,
2,316.0,feed_0_1706,feed_0_3672160
2,316.0,feed_0_1706,
2,316.0,feed_0_1706,
2,316.0,feed_0_1706,
2,316.0,feed_0_1706,
2,316.0,feed_0_1706,
2,311.0,feed_0_1706,feed_0_3678809
2,288.0,feed_0_1706,feed_0_3678810
2,316.0,feed_0_1706,
2,316.0,feed_0_1706,
2,198.0,feed_0_1710,feed_0_3687099
2,250.0,feed_0_1710,feed_0_3687100
2,241.0,feed_0_1710,
2,254.0,feed_0_1710,feed_0_3893419
2,191.0,feed_0_1710,feed_0_5138040
2,191.0,feed_0_1710,
2,250.0,feed_0_1710,
2,246.0,feed_0_1713,feed_0_4024592
2,228.0,feed_0_1713,feed_0_4024593
2,228.0,feed_0_1713,
2,256.0,feed_0_1713,feed_0_4024951
2,189.0,feed_0_1713,feed_0_4024952
2,215.0,feed_0_1713,feed_0_4024953
2,215.0,feed_0_1713,
2,220.0,feed_0_1713,
2,233.0,feed_0_1713,
2,220.0,feed_0_1713,
2,233.0,feed_0_1713,
2,243.0,feed_0_1715,
2,221.0,feed_0_1717,feed_0_4009067
2,213.0,feed_0_1717,feed_0_4009073
2,198.0,feed_0_1718,feed_0_3673608
2,254.0,feed_0_1718,feed_0_3673609
2,244.0,feed_0_1718,feed_0_3687454
2,254.0,feed_0_1718,
2,212.0,feed_0_1720,feed_0_3764498
2,222.0,feed_0_1720,feed_0_4016280
2,212.0,feed_0_1720,
2,285.0,feed_0_1721,feed_0_3687422
2,230.0,feed_0_1721,feed_0_3748041
2,230.0,feed_0_1721,
2,285.0,feed_0_1721,
2,234.0,feed_0_1721,
2,260.0,feed_0_1721,
2,260.0,feed_0_1721,
2,285.0,feed_0_1721,
2,234.0,feed_0_1721,
2,260.0,feed_0_1721,
2,285.0,feed_0_1721,
2,180.0,feed_0_1722,feed_0_1166840
2,180.0,feed_0_1722,
2,480.0,feed_0_1722,feed_0_1715
2,207.0,feed_0_1722,feed_0_1723
2,108.0,feed_0_1722,feed_0_1724
2,480.0,feed_0_1722,
2,220.0,feed_0_1722,
2,108.0,feed_0_1722,
2,214.0,feed_0_1722,feed_0_3716873
2,214.0,feed_0_1722,
2,214.0,feed_0_1722,feed_0_3740515
2,254.0,feed_0_1722,feed_0_3740516
2,269.0,feed_0_1722,feed_0_3740517
2,192.0,feed_0_1722,feed_0_3740559
2,195.0,feed_0_1722,feed_0_3747809
2,195.0,feed_0_1722,
2,214.0,feed_0_1722,
2,189.0,feed_0_1722,feed_0_3749689
2,192.0,feed_0_1722,
2,247.0,feed_0_1722,feed_0_3749691
2,226.0,feed_0_1722,feed_0_3749916
2,279.0,feed_0_1722,feed_0_3749937
2,265.0,feed_0_1722,feed_0_3764738
2,247.0,feed_0_1722,feed_0_3764739
2,247.0,feed_0_1722,
2,202.0,feed_0_1722,feed_0_3764794
2,202.0,feed_0_1722,
2,254.0,feed_0_1722,
2,226.0,feed_0_1722,
2,195.0,feed_0_1722,feed_0_3893335
2,195.0,feed_0_1722,
2,205.0,feed_0_1722,feed_0_3926217
2,269.0,feed_0_1722,
2,225.0,feed_0_1722,feed_0_4008888
2,269.0,feed_0_1722,
2,225.0,feed_0_1722,
2,205.0,feed_0_1722,
2,225.0,feed_0_1722,
2,225.0,feed_0_1722,
2,254.0,feed_0_1722,
2,227.0,feed_0_1722,
2,226.0,feed_0_1722,
2,227.0,feed_0_1722,
2,216.0,feed_0_1722,
2,254.0,feed_0_1722,
2,226.0,feed_0_1722,
2,192.0,feed_0_1722,
2,226.0,feed_0_1722,
2,216.0,feed_0_1722,
2,206.0,feed_0_1722,
2,206.0,feed_0_1722,
2,254.0,feed_0_1722,
2,247.0,feed_0_1722,
2,192.0,feed_0_1722,
2,227.0,feed_0_1722,
2,231.0,feed_0_1722,
2,231.0,feed_0_1722,
